POSITION HOLDER,NAME OF THE ISSUER,ISIN,NET SHORT POSITION,"DATE POSITION WAS CREATED, CHANGED OR CANCELLED"
Clearance capital LLP,A&J Mucklow Group,GB0006091408,0.84%,2013-02-15
Fox-Davies Capital Limited,African Medical Investments PLC,IM00B39HQT38,0.63%,2012-02-15
AKO Capital LLP for AKO Master Fund Limited,BALFOUR BEATTY PLC,GB0000961622,0.76%,2013-02-18
Lombard Odier Asset Management (Switzerland) SA,Borders & Southern Petroleum,GB00B08F4599,0.64%,2013-02-18
Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.71%,2013-02-18
Marshall Wace LLP,London Mining Plc,GB00B1VZK334,0.55%,2013-02-18
BlackRock Investment Management (UK) Limited,MORGAN CRUCIBLE CO. PLC,GB0006027295,0.59%,2013-02-18
Dalton Strategic Partnership LLP,Ocado Group PLC,GB00B3MBS747,1.50%,2013-02-18
Oxford Asset Management,Petropavlovsk Plc,GB0031544546,1.45%,2013-02-18
Oxford Asset Management,Premier Foods plc,GB00B7N0K053,1.02%,2013-02-18
"BlackRock Institutional Trust Company, National Association",SPIRENT COMMUNICATIONS PLC,GB0004726096,0.67%,2013-02-18
BNP PARIBAS SA ,Sportingbet PLC,GB0009516252,0.52%,2013-02-18
BlackRock Investment Management (UK) Limited,SYNERGY HEALTH PLC,GB0030757263,1.05%,2013-02-18
Merchants' Gate Capital LP,WH Smith PLC,GB00B2PDGW16,1.21%,2013-02-15
